-0.000197296  -0.00274908 -0.000245866	-0.00394349	0.00252869	0.00946847	0.999944
0 0 0	0	0	0	1
 0.000818692 -4.89224e-05 -0.000721696	-0.000495863	0.000284069	0.00127759	0.999999
0.00328476 0.00287387 -0.0155705	-0.00167485	0.000480048	0.00429903	0.999989
  0.00546063  -0.00268157 -0.000326018	-0.00370566	0.000603505	0.00436646	0.999983
   0.0035956  -0.00265941 -0.000254196	-0.00402555	0.00105433	0.00568714	0.999975
-0.00630188 -0.00140057   0.0041392	-0.0043987	0.00433367	0.00833782	0.999946
-0.00669669 -0.00186916  0.00234956	-0.00437212	0.0035004	0.0101487	0.999933
 -0.0111507 -0.00648562  0.00974488	-0.00532447	0.00304572	0.0102238	0.999929
 -0.0136675  -0.0199949 -0.00581062	-0.0113329	0.00249862	0.0156913	0.99981
-0.00422986  -0.0220915 -0.00816741	-0.0123301	-0.000354284	0.0151248	0.99981
-0.00452036  -0.0222761  -0.0118215	-0.0119028	0.000245752	0.0159826	0.999801
-0.00462191  -0.0250593  -0.0116152	-0.0114265	0.000760324	0.0175954	0.99978
0.00820196 -0.0198633 -0.0172038	-0.0113068	-0.00232015	0.0123862	0.999857
0.00710082 -0.0234456 -0.0176917	-0.011364	-0.000649835	0.0234035	0.999661
-0.00435393  -0.0309145  -0.0142102	-0.0131694	0.00411783	0.0325854	0.999374
-0.0047609 -0.0329813 -0.0128923	-0.013969	0.00510011	0.0405959	0.999065
-0.00823359  -0.0328843 -0.00780491	-0.0149157	0.00966473	0.0486008	0.99866
 -0.0145725  -0.0335717 -0.00659127	-0.0167293	0.0119124	0.0569217	0.998167
 -0.026084 -0.0265041 -0.0305736	-0.0191868	0.0182615	0.0631443	0.997653
 -0.0107339  -0.0366922 -0.00384375	-0.023404	0.0090571	0.0722552	0.99707
 -0.0149998  -0.0353604 -0.00158347	-0.024838	0.0108207	0.0767994	0.996678
-0.0154945 -0.0345898 0.00479375	-0.0256807	0.00910512	0.079747	0.996443
-0.0154332  -0.033127 0.00737776	-0.0264634	0.00705042	0.0802637	0.996397
 -0.019535 -0.0328584 0.00627187	-0.0268339	0.00484844	0.0841127	0.996083
