-0.248942  -0.39595   1.22988	20	-4.02238e-270	-3.78904e-270	-3.9929e-270	-3.80913e-270	-3.78904e-270	-3.91508e-270	-3.96013e-270	-3.88777e-270	-3.96578e-270	-4.02079e-270	-3.80816e-270	-3.91826e-270	-3.84017e-270	-3.84719e-270	-3.834e-270	-3.64039e-310	
-0.241514 -0.378437   1.23587	35	-3.78577e-270	-3.78577e-270	-3.78577e-270	-6.98351e-251	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-1.0179e-314	-3.78577e-270	-6.98351e-251	-3.78577e-270	-3.78577e-270	-3.78577e-270	-6.98351e-251	
-0.241168 -0.383295   1.23944	75	-1.0179e-314	-7.24551e-251	-4.00972e-270	-1.0179e-314	-1.07883e-309	-1.0179e-314	-1.0179e-314	-8.21477e-310	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-6.98351e-251	
-0.244849 -0.383362   1.24049	88	-3.78577e-270	-3.94377e-270	-3.78577e-270	-4.01747e-270	-4.01181e-270	-3.78577e-270	-3.94372e-270	-4.01758e-270	-3.78577e-270	-3.78577e-270	-1.04624e-314	-3.87421e-270	-3.78577e-270	-3.87496e-270	-3.93146e-270	-5.23889e-310	
-0.249015 -0.383241   1.24229	126	-3.78578e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.87629e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.79526e-270	-3.78577e-270	-1.39066e-309	
-0.256164 -0.379629   1.24337	164	-3.78577e-270	-3.78617e-270	-3.78619e-270	-3.78577e-270	-3.85206e-270	-3.78577e-270	-3.7867e-270	-3.98437e-270	-3.78577e-270	-3.78577e-270	-3.88126e-270	-3.78577e-270	-3.78761e-270	-3.9868e-270	-3.78577e-270	-1.0466e-314	
-0.256058 -0.378993   1.24372	186	-3.82473e-270	-3.78577e-270	-3.93602e-270	-3.99785e-270	1.46385e+13	-3.89879e-270	-3.79101e-270	-3.95967e-270	-3.91882e-270	-3.86009e-270	-3.96736e-270	-3.78904e-270	-1.05054e-314	-3.95022e-270	-3.87935e-270	-3.12135e-310	
-0.255109  -0.37861   1.24402	192	-3.96818e-270	-3.90699e-270	-3.91924e-270	-3.91208e-270	-3.90877e-270	-4.02092e-270	-3.84748e-270	-4.00693e-270	-3.95223e-270	176.203	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-1.04621e-314	
-0.255735 -0.379105   1.24146	203	-3.78577e-270	-3.78577e-270	-3.79201e-270	-3.78577e-270	-3.90953e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-3.78577e-270	-1.01789e-314	-3.78577e-270	
-0.254096  -0.37904   1.24149	210	-3.8135e-270	-3.92649e-270	-3.7957e-270	-3.95722e-270	-3.86283e-270	-3.99534e-270	-3.8061e-270	-3.78577e-270	-1.01755e-314	-3.90303e-270	-4.00326e-270	-4.00759e-270	-3.96866e-270	-3.86208e-270	-3.81419e-270	-9.71036e-310	
